id,name,type,validSince,validUntil,$.data.uuid,$.data.imageId,$.data.text,$.data.folder,$.data.url,$.data.imageUrl,$.data.nyplUrl,geometry
1557788,Brooklyn: Hanson Place - Ashland Place,st:Photo,1927,1927,6ce08140-c5ec-012f-9161-58d385a7bc34,1557788,,"Brooklyn & Hanson Place & Ashland Place, Brooklyn, NY",https://www.oldnyc.org/#1557788,http://oldnyc-assets.nypl.org/600px/1557788.jpg,http://digitalcollections.nypl.org/items/6ce08140-c5ec-012f-9161-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.977953,40.685094]}"
1557810,Brooklyn: 321 Thatford Avenue - Riverdale Avenue,st:Photo,1933,1933,756b20f0-c5ec-012f-d2e0-58d385a7bc34,1557810,,"Brooklyn & 321 Thatford Avenue & Riverdale Avenue, Brooklyn, NY",https://www.oldnyc.org/#1557810,http://oldnyc-assets.nypl.org/600px/1557810.jpg,http://digitalcollections.nypl.org/items/756b20f0-c5ec-012f-d2e0-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.907616,40.66114]}"
702214f-a,Brooklyn: 1st Place - Clinton Street,st:Photo,1930,1930,cf179ab0-c531-012f-7f26-58d385a7bc34,702214f,"1st Place, south side, east from Clinton to Smith Streets.\nJuly 4, 1930.\n\nP. L. Sperr.","1st Place & Clinton Street, Brooklyn, NY",https://www.oldnyc.org/#702214f-a,http://oldnyc-assets.nypl.org/600px/702214f-a.jpg,http://digitalcollections.nypl.org/items/cf179ab0-c531-012f-7f26-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.998871,40.68087]}"
702224f-a,Brooklyn: 2nd Avenue - 40th Street,st:Photo,1918,1918,d34fc590-c531-012f-d592-58d385a7bc34,702224f,"ONE OF THE LARGEST WAREHOUSES IN BROOKLYN- Bush Terminal, recently taken over by the U.S. Government\n\nJanuary 1918\n\nPhoto by Press Illustrating Service","2nd Avenue & 40th Street, Brooklyn, NY",https://www.oldnyc.org/#702224f-a,http://oldnyc-assets.nypl.org/600px/702224f-a.jpg,http://digitalcollections.nypl.org/items/d34fc590-c531-012f-d592-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-74.011103,40.654695]}"
702225f-a,Brooklyn: 2nd Avenue - 40th Street,st:Photo,1945,1945,d3b89020-c531-012f-14f9-58d385a7bc34,702225f,Bush Terminal Bldg\n\nPhotographer: Jacob Halpern M.D.\n\nca. 1945-50,"2nd Avenue & 40th Street, Brooklyn, NY",https://www.oldnyc.org/#702225f-a,http://oldnyc-assets.nypl.org/600px/702225f-a.jpg,http://digitalcollections.nypl.org/items/d3b89020-c531-012f-14f9-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-74.011103,40.654695]}"
702225f-b,Brooklyn: 2nd Avenue - 40th Street,st:Photo,1945,1945,d3b89020-c531-012f-14f9-58d385a7bc34,702225f,Bush Terminal Bldg\n\nPhotographer: Jacob Halpern M.D.\n\nca. 1945-50,"2nd Avenue & 40th Street, Brooklyn, NY",https://www.oldnyc.org/#702225f-b,http://oldnyc-assets.nypl.org/600px/702225f-b.jpg,http://digitalcollections.nypl.org/items/d3b89020-c531-012f-14f9-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-74.011103,40.654695]}"
702226f-a,Brooklyn: 2nd Place - Court Street,st:Photo,1940,1940,d4197fa0-c531-012f-5e69-58d385a7bc34,702226f,"2nd Place, north side, west from Court Street.\n\nSeptember 7, 1940\n\nP. L. Sperr","2nd Place & Court Street, Brooklyn, NY",https://www.oldnyc.org/#702226f-a,http://oldnyc-assets.nypl.org/600px/702226f-a.jpg,http://digitalcollections.nypl.org/items/d4197fa0-c531-012f-5e69-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.997283,40.679502]}"
702227f-a,Brooklyn: 2nd Street - 6th Avenue,st:Photo,1930,1930,d4856d80-c531-012f-d030-58d385a7bc34,702227f,"2nd Street, north side, between Sixth and Seventh Avenues, showing Public School No. 77. The building extends through to First Street.\n\nBoard of Education of the City of New York Early 1930's","2nd Street & 6th Avenue, Brooklyn, NY",https://www.oldnyc.org/#702227f-a,http://oldnyc-assets.nypl.org/600px/702227f-a.jpg,http://digitalcollections.nypl.org/items/d4856d80-c531-012f-d030-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.980428,40.67226]}"
702228f-a,Brooklyn: 2nd Street (East) - Avenue P,st:Photo,1928,1928,d4d204c0-c531-012f-8bfc-58d385a7bc34,702228f,"East 2nd Street, between Ave. P and Quentin Road.\n1928.","2nd Street (East) & Avenue P, Brooklyn, NY",https://www.oldnyc.org/#702228f-a,http://oldnyc-assets.nypl.org/600px/702228f-a.jpg,http://digitalcollections.nypl.org/items/d4d204c0-c531-012f-8bfc-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.971936,40.60894]}"
702230f-a,Brooklyn: 2nd Street (South) - Driggs Avenue,st:Photo,1935,1935,d591fae0-c531-012f-c1bf-58d385a7bc34,702230f,"193-199 South 2nd Street, between Driggs and Bedford Avenue. August 9, 1935. P.L. Sperr.\n\n(Note: The cross streets listed on the back of the photo are incorrect. This address is between Driggs and Roebling. The building at center exists as of May 2015 and serves as the Christian Pentecostal Church of God.)","2nd Street (South) & Driggs Avenue, Brooklyn, NY",https://www.oldnyc.org/#702230f-a,http://oldnyc-assets.nypl.org/600px/702230f-a.jpg,http://digitalcollections.nypl.org/items/d591fae0-c531-012f-c1bf-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.960561,40.712713]}"
